defective_nodes,total_nodes,dataset_split,aggregation_method,accuracy,f1,precision,recall,cohen_kappa,roc_auc,mcc,time_seconds
4,13,60/40,mean,0.8048368522072936,0.3938960419647115,0.7814569536423841,0.2633088938476251,0.3101491831521931,0.7796720625161837,0.37573267912183916,8.940004045143723e-05
4,13,60/40,median,0.8025335892514396,0.38645038167938933,0.7677725118483413,0.2582084794389544,0.30181133527282156,0.77614289606874,0.3658446095577993,0.0014034999767318368
4,13,60/40,trimmed_mean,0.8045297504798464,0.3966824644549763,0.7728531855955678,0.2668154287535862,0.311581312463466,0.7773705121201897,0.3746801082369656,0.0008743000216782093
4,13,60/40,krum,0.8014587332053743,0.3695758166747928,0.7854922279792746,0.24163213261077462,0.2890076738068491,0.7616589996678128,0.36030635244204146,0.009241199993994087
4,13,60/40,multi_krum,0.8048368522072936,0.3938960419647115,0.7814569536423841,0.2633088938476251,0.3101491831521931,0.7796720625161837,0.37573267912183916,0.009047599975019693
4,13,60/40,bulyan,0.803147792706334,0.3764591439688716,0.7938461538461539,0.24673254701944533,0.2960594751658089,0.7685795122780303,0.3678759824347751,0.03410320001421496
5,16,60/40,mean,0.8054510556621881,0.39666666666666667,0.7836312323612418,0.26554032515141857,0.31290011615934776,0.7940441552335471,0.37840788433361455,9.119999594986439e-05
5,16,60/40,median,0.7963915547024952,0.38181818181818183,0.7103209019947961,0.2610774625438317,0.2898861689726492,0.7889339080326369,0.3421627229931743,0.0017757000168785453
5,16,60/40,trimmed_mean,0.7983877159309021,0.3921296296296296,0.7159763313609467,0.2700031877590054,0.29976355415847145,0.7898834978536787,0.3512045933676486,0.000825700000859797
5,16,60/40,krum,0.7998464491362763,0.3838336090758686,0.7422303473491774,0.25884603124003824,0.29617241937452654,0.7621898737327627,0.3550655417036698,0.015862700005527586
5,16,60/40,multi_krum,0.8054510556621881,0.39666666666666667,0.7836312323612418,0.26554032515141857,0.31290011615934776,0.7940441552335471,0.37840788433361455,0.012787299987394363
5,16,60/40,bulyan,0.8028406909788868,0.4005602240896359,0.7480383609415867,0.27350972266496654,0.31180539269921403,0.7834120375815122,0.3685956919350867,0.05810969998128712
10,31,60/40,mean,0.8040690978886756,0.4012200844673862,0.76,0.27255339496334074,0.3139969001719145,0.7941684997570494,0.37330727947876396,0.00019200000679120421
10,31,60/40,median,0.7897120921305182,0.369620253164557,0.6647350993377483,0.255977048135161,0.2721464424715778,0.7854885621092028,0.3169566353226104,0.0032754999701865017
10,31,60/40,trimmed_mean,0.7907101727447217,0.371889400921659,0.6708229426433915,0.2572521517373287,0.27510180605582457,0.7876562253374226,0.320774792152105,0.0013472000136971474
10,31,60/40,krum,0.7924760076775432,0.34662799129804206,0.717,0.22856232068855595,0.2605280251121471,0.7709179759432516,0.3211237888235062,0.050175199983641505
10,31,60/40,multi_krum,0.8040690978886756,0.4012200844673862,0.76,0.27255339496334074,0.3139969001719145,0.7941684997570494,0.37330727947876396,0.05183549999492243
10,31,60/40,bulyan,0.7923224568138196,0.34328720563243503,0.719959266802444,0.22537456168313674,0.258087262357923,0.7767533673928362,0.31995888446978993,0.41740549996029586
4,13,70/30,mean,0.8031528303818201,0.39585296889726673,0.7581227436823105,0.26785714285714285,0.30898285028715267,0.7848595029895469,0.36897034488060587,6.830005440860987e-05
4,13,70/30,median,0.7998771624526564,0.39492417208294645,0.7258248009101251,0.27125850340136054,0.30371073523643355,0.776307089844162,0.3567460746893782,0.0009273000177927315
4,13,70/30,trimmed_mean,0.8000818916982291,0.39291265153870064,0.730635838150289,0.2687074829931973,0.3026201596591085,0.7791502319547207,0.35712265110735336,0.00041480001527816057
4,13,70/30,krum,0.8021291841539564,0.3873217115689382,0.7608966376089664,0.25977891156462585,0.3017468312520062,0.7596504204351283,0.3640758169668138,0.005944299977272749
4,13,70/30,multi_krum,0.8031528303818201,0.39585296889726673,0.7581227436823105,0.26785714285714285,0.30898285028715267,0.7848595029895469,0.36897034488060587,0.006376200006343424
4,13,70/30,bulyan,0.7993653393387246,0.3851944792973651,0.7344497607655502,0.26105442176870747,0.2963426446071792,0.7761524304342204,0.35324376249088374,0.025844000047072768
5,16,70/30,mean,0.8033575596273927,0.38291037584323806,0.783180026281209,0.2534013605442177,0.3005798520846271,0.7884787510123371,0.3687481848159415,7.370003731921315e-05
5,16,70/30,median,0.7974204115057836,0.37903984938813934,0.7233532934131737,0.2568027210884354,0.28938920485924347,0.7824083405102638,0.3450781204769886,0.001402700028847903
5,16,70/30,trimmed_mean,0.7995700685842972,0.3926799007444169,0.7259174311926605,0.26913265306122447,0.30173967655236844,0.7825888529201623,0.3552507640524952,0.000693499983754009
5,16,70/30,krum,0.7993653393387246,0.3875,0.7311320754716981,0.26360544217687076,0.29791086824899904,0.7672142859435805,0.3536167173528694,0.009120600007008761
5,16,70/30,multi_krum,0.8033575596273927,0.38291037584323806,0.783180026281209,0.2534013605442177,0.3005798520846271,0.7884787510123371,0.3687481848159415,0.009320200013462454
5,16,70/30,bulyan,0.7983416931108609,0.3746031746031746,0.7393483709273183,0.2508503401360544,0.2877143924557336,0.7776939800458404,0.3478076148358826,0.04511509998701513
10,31,70/30,mean,0.8030504657590337,0.39875,0.7523584905660378,0.27125850340136054,0.31080638291381335,0.7883599189304951,0.36892354248197495,0.0001677999971434474
10,31,70/30,median,0.7946565666905517,0.3691823899371069,0.7089371980676329,0.2495748299319728,0.2787542286658754,0.7811422887208005,0.33323316114451174,0.003334800014272332
10,31,70/30,trimmed_mean,0.7950660251816972,0.3712311557788945,0.7103365384615384,0.2512755102040816,0.28072873851889746,0.7821448233466233,0.3351104820406389,0.0015958999865688384
10,31,70/30,krum,0.7926092742348244,0.3838199513381995,0.6741452991452992,0.2682823129251701,0.285939424323843,0.7645711749712694,0.3299694249806564,0.03500269999494776
10,31,70/30,multi_krum,0.8030504657590337,0.39875,0.7523584905660378,0.27125850340136054,0.31080638291381335,0.7883599189304951,0.36892354248197495,0.034132400003727525
10,31,70/30,bulyan,0.79977479782987,0.3782581055308328,0.7493702770780857,0.25297619047619047,0.29224560748236805,0.774342491142338,0.3538295542256049,0.29695069999434054
4,13,80/20,mean,0.8016275142023646,0.389413988657845,0.7518248175182481,0.2627551020408163,0.3024280899081321,0.7901966271847466,0.3623222947434148,7.160002132877707e-05
4,13,80/20,median,0.7959465684016582,0.3734087694483734,0.7160940325497287,0.25255102040816324,0.2834541611185225,0.7821574307174842,0.3386671314956258,0.000778400048147887
4,13,80/20,trimmed_mean,0.8002456625211116,0.37899761336515514,0.7533206831119544,0.2531887755102041,0.29341490284032035,0.78701687955263,0.3557265112344256,0.000458099995739758
4,13,80/20,krum,0.7976354982343006,0.38868274582560297,0.7125850340136054,0.26721938775510207,0.2962705544980103,0.7493689513216815,0.3476644161068703,0.004253100021742284
4,13,80/20,multi_krum,0.8016275142023646,0.389413988657845,0.7518248175182481,0.2627551020408163,0.3024280899081321,0.7901966271847465,0.3623222947434148,0.003986800031270832
4,13,80/20,bulyan,0.7990173499155535,0.3805016564126834,0.7376146788990826,0.25637755102040816,0.29265545432453355,0.76454636202307,0.3511943392922976,0.014213300019036978
5,16,80/20,mean,0.8008598188238907,0.3884959924563885,0.7450271247739603,0.2627551020408163,0.30070733406374994,0.7836708899940158,0.35928098513425666,8.339999476447701e-05
5,16,80/20,median,0.7971748810072163,0.3730422401518747,0.7291280148423006,0.25063775510204084,0.2849689763306926,0.7798051525969336,0.3431179419105455,0.0009112000116147101
5,16,80/20,trimmed_mean,0.7956394902502687,0.36588851834206765,0.7231638418079096,0.24489795918367346,0.27793496869078527,0.7798684767132334,0.3361780658645182,0.0003282999969087541
5,16,80/20,krum,0.7961001074773529,0.3706161137440758,0.7214022140221402,0.2493622448979592,0.28178472667050747,0.7444148387363034,0.33871358445549016,0.006223800010047853
5,16,80/20,multi_krum,0.8008598188238907,0.3884959924563885,0.7450271247739603,0.2627551020408163,0.30070733406374994,0.7836708899940158,0.35928098513425666,0.006231300008948892
5,16,80/20,bulyan,0.7985567326884692,0.39090064995357476,0.7184300341296929,0.2684948979591837,0.2990860864291325,0.7784251769464104,0.3513128195743567,0.02840990002732724
10,31,80/20,mean,0.8016275142023646,0.38825757575757575,0.7536764705882353,0.2614795918367347,0.3016460804257647,0.7831693268814098,0.36218402535072813,0.00010040000779554248
10,31,80/20,median,0.7959465684016582,0.3722248464808692,0.7176684881602914,0.2512755102040816,0.28265200507493693,0.7767862301644622,0.33844420208296205,0.0016456000157631934
10,31,80/20,trimmed_mean,0.7959465684016582,0.3680456490727532,0.7233644859813084,0.24681122448979592,0.2798302598726574,0.7764199562534821,0.33769516793282567,0.0010464999941177666
10,31,80/20,krum,0.7999385843697221,0.3744599135861738,0.7572815533980582,0.24872448979591838,0.28992918819910973,0.7477223953282021,0.3540158889516843,0.023240000009536743
10,31,80/20,multi_krum,0.8016275142023646,0.38825757575757575,0.7536764705882353,0.2614795918367347,0.3016460804257647,0.7831693268814098,0.36218402535072813,0.02300029998878017
10,31,80/20,bulyan,0.8005527406725012,0.38581560283687943,0.7458866544789763,0.2602040816326531,0.29845227906756144,0.7762197952993128,0.35775560802035217,0.1909184000105597
